N°,Municipio,Etapa,Edad,Género
548,COXCATLAN,2,35,Femenino
549,COXCATLAN,2,62,Femenino
550,COXCATLAN,2,23,Femenino
551,COXCATLAN,2,35,Femenino
552,COXCATLAN,2,26,Femenino
553,SAN JOSE MIAHUATLAN,3,47,Femenino
554,SAN JOSE MIAHUATLAN,3,41,Femenino
555,SAN JOSE MIAHUATLAN,3,37,Femenino
556,SAN JOSE MIAHUATLAN,3,48,Femenino
557,SAN JOSE MIAHUATLAN,3,24,Femenino
558,SAN JOSE MIAHUATLAN,3,49,Femenino
559,SAN JOSE MIAHUATLAN,3,33,Femenino
560,SAN JOSE MIAHUATLAN,3,52,Femenino
561,SAN JOSE MIAHUATLAN,3,31,Femenino
562,SAN JOSE MIAHUATLAN,3,30,Femenino
563,ZINACATEPEC,4,38,Femenino
564,ZINACATEPEC,4,33,Femenino
565,ZINACATEPEC,4,68,Femenino
566,ZINACATEPEC,4,33,Femenino
567,ZINACATEPEC,4,35,Femenino
568,ATLIXCO,1,45,Femenino
569,ATLIXCO,1,21,Femenino
570,ATLIXCO,1,41,Femenino
571,ATLIXCO,1,60,Femenino
572,ATLIXCO,1,39,Femenino
573,ATLIXCO,1,20,Femenino
574,ATLIXCO,1,48,Femenino
575,ATLIXCO,1,37,Femenino
576,OCOYUCAN,1,24,Femenino
577,OCOYUCAN,1,27,Femenino
578,OCOYUCAN,1,23,Femenino
579,OCOYUCAN,1,44,Femenino
580,OCOYUCAN,1,18,Femenino
581,OCOYUCAN,1,53,Femenino
582,OCOYUCAN,1,60,Femenino
583,OCOYUCAN,1,20,Femenino
584,OCOYUCAN,1,24,Femenino
585,ATLIXCO,1,22,Femenino
586,ATLIXCO,1,20,Femenino
587,ATLIXCO,1,24,Femenino
588,ATLIXCO,1,24,Femenino
589,ATLIXCO,1,49,Femenino
590,ATLIXCO,1,51,Femenino
591,ATLIXCO,1,38,Femenino
592,ATLIXCO,1,18,Femenino
593,OCOYUCAN,1,50,Femenino
594,OCOYUCAN,1,24,Femenino
595,OCOYUCAN,1,52,Femenino
596,OCOYUCAN,1,55,Femenino
597,OCOYUCAN,1,20,Femenino
598,OCOYUCAN,1,31,Femenino
599,OCOYUCAN,1,58,Femenino
600,OCOYUCAN,1,33,Femenino
